iter	Passed	Remaining
0	2	2945
1	6	3072
2	9	3247
3	17	4346
4	20	4001
5	22	3673
6	24	3425
7	26	3226
8	28	3131
9	31	3136
10	33	3021
11	35	2930
12	37	2841
13	40	2863
14	42	2796
15	44	2738
16	46	2678
17	48	2624
18	49	2568
19	51	2520
20	52	2470
21	54	2440
22	56	2403
23	58	2367
24	59	2332
25	61	2300
26	63	2271
27	64	2243
28	66	2216
29	67	2192
30	69	2168
31	71	2148
32	72	2127
33	74	2109
34	75	2089
35	77	2070
36	78	2054
37	80	2037
38	82	2021
39	83	2007
40	85	1992
41	86	1978
42	88	1965
43	89	1953
44	91	1940
45	93	1929
46	94	1919
47	96	1908
48	97	1897
49	99	1887
50	100	1877
51	102	1871
52	104	1862
53	105	1856
54	107	1848
55	109	1840
56	110	1832
57	112	1824
58	113	1816
59	115	1808
60	116	1800
61	118	1792
62	120	1785
63	121	1778
64	123	1772
65	124	1765
66	126	1758
67	127	1752
68	129	1749
69	131	1743
70	132	1737
71	134	1735
72	136	1730
73	137	1725
74	139	1720
75	141	1715
76	142	1710
77	144	1705
78	145	1700
79	147	1694
80	148	1690
81	150	1690
82	153	1693
83	154	1688
84	156	1683
85	157	1678
86	159	1675
87	161	1670
88	162	1666
89	164	1661
90	165	1657
91	167	1653
92	169	1649
93	170	1645
94	172	1641
95	173	1636
96	175	1632
97	176	1628
98	178	1624
99	180	1620
100	182	1620
101	185	1634
102	187	1634
103	189	1631
104	191	1629
105	192	1625
106	195	1629
107	198	1639
108	201	1647
109	205	1659
110	208	1673
111	212	1684
112	216	1696
113	219	1709
114	221	1708
115	223	1703
116	225	1705
117	227	1702
118	229	1698
119	231	1698
120	233	1694
121	234	1689
122	236	1685
123	237	1680
124	239	1676
125	241	1671
126	242	1668
127	244	1664
128	247	1672
129	249	1670
130	251	1667
131	253	1664
132	254	1659
133	256	1655
134	257	1651
135	259	1647
136	261	1650
137	264	1650
138	265	1646
139	267	1644
140	269	1640
141	270	1636
142	272	1632
143	273	1628
144	275	1624
145	278	1627
146	279	1624
147	281	1621
148	283	1618
149	285	1615
150	286	1611
151	288	1607
152	289	1604
153	291	1600
154	294	1603
155	295	1600
156	297	1598
157	299	1595
158	300	1591
159	302	1588
160	304	1584
161	305	1580
162	307	1577
163	310	1583
164	312	1581
165	314	1578
166	315	1576
167	317	1572
168	319	1569
169	320	1565
170	322	1562
171	325	1566
172	327	1563
173	328	1561
174	330	1558
175	332	1557
176	334	1553
177	335	1550
178	337	1547
179	338	1544
180	341	1546
181	343	1542
182	344	1540
183	346	1537
184	348	1533
185	349	1530
186	351	1526
187	352	1523
188	355	1525
189	357	1523
190	358	1519
191	360	1517
192	362	1513
193	363	1510
194	365	1507
195	366	1503
196	368	1500
197	370	1500
198	373	1503
199	376	1504
200	377	1501
201	379	1498
202	380	1495
203	382	1492
204	384	1489
205	388	1497
206	392	1502
207	395	1505
208	398	1506
209	401	1509
210	404	1514
211	409	1520
212	412	1525
213	414	1522
214	416	1520
215	419	1522
216	421	1522
217	423	1519
218	425	1517
219	427	1514
220	428	1511
221	430	1508
222	431	1505
223	434	1505
224	436	1503
225	438	1501
226	440	1498
227	441	1496
228	443	1492
229	444	1489
230	446	1486
231	448	1483
232	450	1484
233	453	1483
234	454	1480
235	456	1478
236	458	1475
237	459	1472
238	461	1469
239	463	1466
240	465	1467
241	467	1465
242	469	1462
243	471	1460
244	472	1457
245	474	1454
246	476	1451
247	477	1448
248	479	1445
249	481	1445
250	483	1443
251	485	1441
252	487	1438
253	488	1435
254	490	1432
255	492	1429
256	493	1426
257	495	1424
258	497	1424
259	499	1422
260	501	1420
261	503	1417
262	504	1414
263	506	1411
264	508	1409
265	509	1406
266	511	1403
267	513	1403
268	515	1400
269	517	1398
270	518	1395
271	520	1393
272	522	1390
273	523	1387
274	525	1384
275	526	1381
276	529	1381
277	531	1379
278	532	1376
279	534	1374
280	539	1381
281	541	1379
282	544	1379
283	546	1377
284	548	1375
285	549	1372
286	551	1370
287	553	1367
288	554	1364
289	556	1361
290	557	1359
291	560	1359
292	562	1357
293	564	1354
294	565	1352
295	567	1350
296	569	1347
297	570	1344
298	572	1341
299	573	1339
300	576	1339
301	578	1336
302	581	1338
303	583	1336
304	585	1334
305	587	1331
306	588	1328
307	590	1326
308	596	1333
309	599	1335
310	603	1337
311	606	1338
312	610	1338
313	611	1336
314	613	1334
315	615	1332
316	617	1329
317	618	1326
318	620	1324
319	621	1321
320	625	1322
321	626	1320
322	628	1318
323	630	1315
324	632	1313
325	633	1310
326	635	1307
327	637	1305
328	639	1305
329	641	1303
330	643	1300
331	645	1298
332	646	1295
333	648	1293
334	650	1290
335	651	1287
336	653	1285
337	655	1284
338	657	1282
339	659	1280
340	661	1277
341	662	1275
342	664	1272
343	665	1270
344	667	1267
345	669	1264
346	672	1264
347	673	1262
348	675	1260
349	677	1258
350	679	1255
351	680	1252
352	682	1250
353	683	1247
354	685	1245
355	687	1243
356	689	1241
357	691	1239
358	692	1236
359	694	1234
360	695	1231
361	697	1229
362	699	1226
363	700	1224
364	702	1222
365	704	1220
366	706	1218
367	708	1216
368	709	1213
369	711	1211
370	712	1208
371	714	1206
372	715	1203
373	719	1203
374	720	1201
375	722	1199
376	724	1196
377	725	1194
378	727	1191
379	729	1189
380	730	1187
381	732	1184
382	735	1184
383	737	1182
384	738	1180
385	740	1178
386	742	1175
387	743	1173
388	745	1170
389	746	1168
390	749	1167
391	751	1165
392	753	1163
393	754	1160
394	756	1158
395	758	1156
396	759	1153
397	761	1151
398	762	1148
399	765	1148
400	767	1146
401	769	1144
402	771	1142
403	772	1140
404	775	1139
405	777	1137
406	778	1134
407	782	1135
408	785	1134
409	787	1133
410	791	1134
411	795	1135
412	801	1138
413	803	1136
414	804	1134
415	806	1132
416	808	1130
417	810	1127
418	813	1128
419	815	1126
420	817	1124
421	819	1122
422	820	1119
423	822	1117
424	824	1115
425	825	1112
426	827	1110
427	829	1108
428	831	1106
429	833	1104
430	834	1102
431	836	1099
432	838	1097
433	839	1095
434	841	1092
435	843	1091
436	845	1089
437	847	1087
438	849	1085
439	850	1082
440	852	1080
441	854	1078
442	855	1075
443	857	1073
444	860	1073
445	862	1071
446	864	1068
447	865	1066
448	867	1064
449	869	1062
450	870	1059
451	872	1057
452	873	1055
453	876	1054
454	879	1053
455	880	1050
456	882	1048
457	884	1046
458	885	1043
459	887	1041
460	888	1039
461	891	1037
462	893	1035
463	894	1033
464	896	1031
465	898	1029
466	899	1026
467	901	1024
468	902	1022
469	904	1019
470	906	1018
471	908	1016
472	910	1014
473	911	1012
474	913	1009
475	915	1007
476	916	1005
477	918	1003
478	920	1000
479	923	1000
480	925	998
481	927	996
482	928	994
483	930	992
484	932	989
485	933	987
486	935	985
487	936	982
488	939	981
489	941	979
490	942	977
491	944	975
492	946	972
493	947	970
494	949	968
495	950	966
496	952	963
497	955	962
498	957	961
499	959	959
500	961	957
501	963	955
502	965	953
503	968	953
504	972	953
505	976	953
506	979	952
507	984	953
508	988	953
509	989	951
510	991	949
511	993	947
512	995	944
513	997	942
514	998	940
515	1000	938
516	1003	937
517	1005	935
518	1007	933
519	1009	931
520	1010	929
521	1012	926
522	1013	924
523	1015	922
524	1018	921
525	1019	919
526	1021	917
527	1023	914
528	1025	912
529	1026	910
530	1028	908
531	1029	905
532	1031	903
533	1034	902
534	1035	900
535	1037	898
536	1039	896
537	1041	894
538	1042	891
539	1044	889
540	1045	887
541	1047	884
542	1049	883
543	1051	881
544	1053	879
545	1054	877
546	1056	874
547	1058	872
548	1059	870
549	1061	868
550	1062	865
551	1064	864
552	1067	862
553	1069	860
554	1070	858
555	1072	856
556	1074	854
557	1075	852
558	1077	849
559	1078	847
560	1082	847
561	1084	845
562	1086	843
563	1087	841
564	1089	838
565	1091	836
566	1092	834
567	1094	832
568	1096	830
569	1098	828
570	1100	826
571	1102	824
572	1103	822
573	1105	820
574	1106	818
575	1108	815
576	1110	813
577	1112	812
578	1114	810
579	1116	808
580	1118	806
581	1119	804
582	1121	802
583	1123	799
584	1124	797
585	1126	795
586	1128	794
587	1130	792
588	1132	790
589	1134	788
590	1135	786
591	1137	783
592	1138	781
593	1140	779
594	1141	777
595	1144	775
596	1146	773
597	1149	772
598	1153	772
599	1156	770
600	1158	769
601	1162	768
602	1165	767
