ward,target
21001001: Ward 1,18.549057827624317
21001002: Ward 2,12.695907805925799
21001003: Ward 3,19.955892500455462
21001004: Ward 4,14.71058920187135
21001005: Ward 5,21.26346676121088
21001006: Ward 6,22.984175634669793
21001007: Ward 7,11.147096493040042
21002001: Ward 1,17.73848321997273
21002002: Ward 2,17.63599645097222
21002003: Ward 3,23.774253444508908
21002004: Ward 4,21.192626086565173
21002005: Ward 5,19.108250063814808
21002006: Ward 6,14.786788812515539
21004001: Ward 1,14.64273756673512
21004002: Ward 2,22.550900000893055
21004003: Ward 3,18.18570317071605
21004004: Ward 4,14.411923128322018
21004005: Ward 5,24.668919735500012
21004006: Ward 6,20.159665085172804
21004007: Ward 7,26.334258160319635
21004008: Ward 8,14.14884117633092
21004009: Ward 9,23.54670340555044
21004010: Ward 10,23.36431215777433
21004011: Ward 11,27.67744679089657
21004012: Ward 12,8.931883942442292
21004013: Ward 13,19.572102441862654
21004014: Ward 14,15.829148764556574
21005001: Ward 1,25.55375269473456
21005002: Ward 2,18.60294781895208
21005003: Ward 3,20.470385149645377
21005004: Ward 4,18.749496585266215
21005005: Ward 5,19.6474851311749
21005006: Ward 6,17.17178666145153
21005007: Ward 7,30.04299437150759
21005008: Ward 8,23.574725850930434
21005009: Ward 9,20.294526002140582
21005010: Ward 10,4.866519586835296
21006001: Ward 1,19.273824377221292
21006002: Ward 2,17.74921433304954
21006003: Ward 3,18.665487225674834
21006004: Ward 4,20.993006838273576
21006005: Ward 5,21.44735885327784
21006006: Ward 6,13.880984380015368
21006007: Ward 7,16.21567893262916
21006008: Ward 8,19.734680826756968
21008001: Ward 1,17.047382059887006
21008002: Ward 2,16.14548375130546
21008003: Ward 3,5.685715091274273
21008004: Ward 4,17.654221093498098
21008005: Ward 5,17.762649957027165
21008006: Ward 6,24.27560291467426
21008007: Ward 7,15.998680935427839
21008008: Ward 8,7.59386861770295
21008009: Ward 9,18.140899559089288
21008010: Ward 10,19.06104769120286
21008011: Ward 11,6.831514707272059
21008012: Ward 12,12.888467829676951
21008013: Ward 13,14.545652750656165
21008014: Ward 14,14.046133164699834
21008015: Ward 15,15.138776721784149
21009001: Ward 1,14.321442401889612
21009002: Ward 2,13.926352164269156
21009003: Ward 3,18.743845570669073
21009004: Ward 4,15.42638292987435
21009005: Ward 5,18.489913365242277
21009006: Ward 6,17.291748315550624
21201001: Ward 1,26.42194677940931
21201002: Ward 2,35.7944847895705
21201003: Ward 3,39.84991450240665
21201004: Ward 4,40.39528904622856
21201005: Ward 5,36.70446001892192
21201006: Ward 6,37.67605290623991
21201007: Ward 7,43.95067196117555
21201008: Ward 8,43.45464280491397
21201009: Ward 9,32.95372178415755
21201010: Ward 10,36.494131614288925
21201011: Ward 11,41.874779364914794
21201012: Ward 12,38.81791745321119
21201013: Ward 13,32.750774220822265
21201014: Ward 14,46.36116248019037
21201015: Ward 15,45.55710683300337
21201016: Ward 16,46.35547776319546
21201017: Ward 17,46.59609133718471
21201018: Ward 18,44.71726181277159
21201019: Ward 19,43.673731473132264
21201020: Ward 20,46.80113493345504
21201021: Ward 21,31.865978878467374
21201022: Ward 22,42.32123210958945
21201023: Ward 23,41.15761722636382
21201024: Ward 24,34.35454780418317
21201025: Ward 25,27.470624240487787
21201026: Ward 26,46.63902133620211
21201027: Ward 27,34.47277440340605
21201028: Ward 28,36.73440551532135
21201029: Ward 29,34.43762460112453
21201030: Ward 30,34.25264538764852
21201031: Ward 31,40.843352968312395
21202001: Ward 1,18.845435948403495
21202002: Ward 2,26.67136111819866
21202003: Ward 3,30.9788833396102
21202004: Ward 4,22.56218519434995
21202005: Ward 5,28.943777404949213
