ward,target
21001001: Ward 1,18.644819753778005
21001002: Ward 2,14.112093658080001
21001003: Ward 3,21.719868440146993
21001004: Ward 4,16.780821771084998
21001005: Ward 5,21.394936808272014
21001006: Ward 6,25.123197938596004
21001007: Ward 7,12.157363611368998
21002001: Ward 1,15.215136860292999
21002002: Ward 2,16.723645676984
21002003: Ward 3,22.896066871391998
21002004: Ward 4,21.971491165838994
21002005: Ward 5,17.808751263506007
21002006: Ward 6,14.186800792080994
21004001: Ward 1,12.721597822340001
21004002: Ward 2,22.840043798074003
21004003: Ward 3,16.674786771097
21004004: Ward 4,11.513041391848002
21004005: Ward 5,26.495162780974006
21004006: Ward 6,19.355615584193
21004007: Ward 7,26.721469644954006
21004008: Ward 8,12.985061463772004
21004009: Ward 9,24.327527643838003
21004010: Ward 10,23.632392348869995
21004011: Ward 11,27.638521592786006
21004012: Ward 12,9.773834168325001
21004013: Ward 13,17.278058759059004
21004014: Ward 14,15.734157243920004
21005001: Ward 1,28.989127338962
21005002: Ward 2,16.374359726511997
21005003: Ward 3,16.199293948917997
21005004: Ward 4,18.245825676494004
21005005: Ward 5,17.540210689136003
21005006: Ward 6,13.37463290545901
21005007: Ward 7,29.266942529638023
21005008: Ward 8,20.386196668186997
21005009: Ward 9,17.836487866733993
21005010: Ward 10,5.2068791087080015
21006001: Ward 1,16.918266212289996
21006002: Ward 2,16.039480950942004
21006003: Ward 3,15.954610793707998
21006004: Ward 4,17.429949730856002
21006005: Ward 5,17.572041932730993
21006006: Ward 6,15.446737297600004
21006007: Ward 7,13.258358662919001
21006008: Ward 8,18.124230545901003
21008001: Ward 1,13.047827985925997
21008002: Ward 2,19.069591283462014
21008003: Ward 3,5.4265999919790024
21008004: Ward 4,18.11395419383801
21008005: Ward 5,18.597463116630006
21008006: Ward 6,26.071159733102018
21008007: Ward 7,14.663668303865004
21008008: Ward 8,8.560877188576002
21008009: Ward 9,19.052866442298008
21008010: Ward 10,17.341355223847003
21008011: Ward 11,7.855017808273003
21008012: Ward 12,13.332330757235004
21008013: Ward 13,13.937862170688007
21008014: Ward 14,14.863744781449
21008015: Ward 15,14.027033020412995
21009001: Ward 1,15.346983098877997
21009002: Ward 2,14.412110342965995
21009003: Ward 3,19.02192113596
21009004: Ward 4,15.850944960079
21009005: Ward 5,15.842001352705005
21009006: Ward 6,15.241022613086002
21201001: Ward 1,25.286393499256995
21201002: Ward 2,35.65700249054302
21201003: Ward 3,38.17353188350201
21201004: Ward 4,40.497323122688016
21201005: Ward 5,38.17828414076503
21201006: Ward 6,38.559725229139985
21201007: Ward 7,40.76077932972701
21201008: Ward 8,42.564214700028
21201009: Ward 9,33.61580183883166
21201010: Ward 10,36.889629405333
21201011: Ward 11,38.799084879248
21201012: Ward 12,38.80125305224602
21201013: Ward 13,32.87008668788299
21201014: Ward 14,43.26148550423302
21201015: Ward 15,44.24817329786901
21201016: Ward 16,44.10888335350601
21201017: Ward 17,45.15473776555499
21201018: Ward 18,43.557567730359004
21201019: Ward 19,42.397103435241
21201020: Ward 20,44.03006655111501
21201021: Ward 21,35.124967312048014
21201022: Ward 22,41.077658584712005
21201023: Ward 23,40.870644375593
21201024: Ward 24,33.474948137079
21201025: Ward 25,28.517671433171987
21201026: Ward 26,43.96989766673301
21201027: Ward 27,34.51656793843
21201028: Ward 28,40.224694390655
21201029: Ward 29,34.57833161121899
21201030: Ward 30,35.111112847776006
21201031: Ward 31,39.455069534845016
21202001: Ward 1,20.250131708172
21202002: Ward 2,27.889128795837987
21202003: Ward 3,29.65819817313299
21202004: Ward 4,25.129693783125987
21202005: Ward 5,29.230208278277996
21202006: Ward 6,28.244508204266005
21202007: Ward 7,33.681099566149996
21202008: Ward 8,35.106276187362994
21202009: Ward 9,34.654075669814
21202010: Ward 10,35.60950523112899
21202011: Ward 11,34.788099790637006
21202012: Ward 12,34.11247315975599
21202013: Ward 13,33.899720016467
21202014: Ward 14,33.329039492475005
21202015: Ward 15,37.00197448584899
21202016: Ward 16,31.709077565388984
21202017: Ward 17,34.700993360357
21202018: Ward 18,33.07895273922198
21202019: Ward 19,35.87168153266198
21202020: Ward 20,35.694417674188
21202021: Ward 21,36.159223902497
21202022: Ward 22,38.14971424884302
21202023: Ward 23,38.43604595709799
21202024: Ward 24,38.187828215048015
21202025: Ward 25,39.647560540682996
21202026: Ward 26,37.564629937907
21202027: Ward 27,37.605322578103
21202028: Ward 28,34.279939158411004
21202029: Ward 29,36.20413914899001
21202030: Ward 30,33.252132989771006
21202031: Ward 31,38.14964307019201
21203001: Ward 1,20.071115558006998
21203002: Ward 2,31.412183615391985
21203003: Ward 3,29.861207953485
21203004: Ward 4,31.957820308628992
21203005: Ward 5,26.33208315991302
21203006: Ward 6,18.149346827167008
21203007: Ward 7,21.780766746574
21204001: Ward 1,32.273639130551
21204002: Ward 2,25.402731539444
21204003: Ward 3,31.737709112203987
21204004: Ward 4,21.140788431056002
21204005: Ward 5,27.246733476594997
21204006: Ward 6,23.01795430493
21204007: Ward 7,33.002820107674005
21204008: Ward 8,31.557624104855005
21204009: Ward 9,27.884360742404997
21204010: Ward 10,29.119961999833013
21204011: Ward 11,32.255845831194996
21204012: Ward 12,36.026300500979
21204013: Ward 13,31.08516411546702
21204014: Ward 14,27.75597916832899
21204015: Ward 15,31.806006580520002
21206001: Ward 1,31.593600590981005
21206002: Ward 2,30.990028757472004
21206003: Ward 3,31.304520890509995
21206004: Ward 4,31.171079236920992
21206005: Ward 5,31.904781282667
21206006: Ward 6,29.485691879756
21206007: Ward 7,25.157166769314987
21206008: Ward 8,31.226758729523002
21206009: Ward 9,31.664425215983005
21206010: Ward 10,22.596529054999
21206011: Ward 11,27.223224021294985
21206012: Ward 12,29.450570613183004
21301001: Ward 1,25.228615047342984
21301002: Ward 2,22.483281929464003
21301003: Ward 3,24.882240351457995
21301004: Ward 4,22.083472441534994
21301005: Ward 5,9.780913593919003
21301006: Ward 6,16.052354116725997
21301007: Ward 7,21.958150275314
21301008: Ward 8,16.540510443889
21301009: Ward 9,21.358856352105
21305001: Ward 1,33.346765704781006
21305002: Ward 2,30.76542773687499
21305003: Ward 3,33.53103736217001
21305004: Ward 4,30.316616099860997
21305005: Ward 5,38.951184804292026
21305006: Ward 6,35.58439122192801
21305007: Ward 7,34.63207198446902
21305008: Ward 8,30.05444953779899
21305009: Ward 9,38.235685086155996
21305010: Ward 10,33.71908936720501
21305011: Ward 11,43.56897350869703
21305012: Ward 12,38.200685463157
21305013: Ward 13,34.931571575123
21305014: Ward 14,26.010153083519995
21305015: Ward 15,31.16468383290398
21305016: Ward 16,37.86411252156801
21305017: Ward 17,33.75186492235401
21305018: Ward 18,36.647520961900995
21305019: Ward 19,35.363078756462
21305020: Ward 20,40.301729347760016
21305021: Ward 21,39.71361289140802
21306001: Ward 1,34.880434952855
21306002: Ward 2,35.26181405101001
21306003: Ward 3,34.01007365454701
21306004: Ward 4,30.523605986738993
