ward,target
21001001: Ward 1,18.933975400323074
21001002: Ward 2,14.505700761035424
21001003: Ward 3,20.021769350585217
21001004: Ward 4,17.16784993300525
21001005: Ward 5,20.510423052416478
21001006: Ward 6,23.062143592375136
21001007: Ward 7,13.157564357992754
21002001: Ward 1,17.7947334014516
21002002: Ward 2,17.088968549606957
21002003: Ward 3,23.300830478068143
21002004: Ward 4,20.4813212893307
21002005: Ward 5,18.14070280125532
21002006: Ward 6,18.47531767587799
21004001: Ward 1,16.255681502976557
21004002: Ward 2,23.423490892669527
21004003: Ward 3,16.239237955350365
21004004: Ward 4,10.860312518435208
21004005: Ward 5,23.113843039451588
21004006: Ward 6,20.08565266393709
21004007: Ward 7,24.772689672197473
21004008: Ward 8,11.095640267891579
21004009: Ward 9,22.6383023424897
21004010: Ward 10,22.12084253026532
21004011: Ward 11,26.463891461327886
21004012: Ward 12,10.898442709689313
21004013: Ward 13,19.68657229368557
21004014: Ward 14,18.465368814091796
21005001: Ward 1,27.427123201827463
21005002: Ward 2,17.332181116605092
21005003: Ward 3,17.995819906713578
21005004: Ward 4,17.69880498708217
21005005: Ward 5,19.52111276282028
21005006: Ward 6,16.523842584204406
21005007: Ward 7,29.125501722057514
21005008: Ward 8,26.165295444584707
21005009: Ward 9,23.56825125188982
21005010: Ward 10,6.858611521607298
21006001: Ward 1,21.544829157107145
21006002: Ward 2,17.868384001681633
21006003: Ward 3,17.864412352581
21006004: Ward 4,20.940782040027813
21006005: Ward 5,22.127035752061023
21006006: Ward 6,19.98636885101475
21006007: Ward 7,15.13554333159137
21006008: Ward 8,19.732976363131726
21008001: Ward 1,16.78979450208834
21008002: Ward 2,16.16961767367301
21008003: Ward 3,6.295464302478183
21008004: Ward 4,17.133545460359873
21008005: Ward 5,17.367566582093822
21008006: Ward 6,23.5926731276747
21008007: Ward 7,14.57222980384973
21008008: Ward 8,8.148614063322462
21008009: Ward 9,18.476328116960858
21008010: Ward 10,19.112681939067183
21008011: Ward 11,7.725503902418571
21008012: Ward 12,13.528056771566408
21008013: Ward 13,15.92349115428503
21008014: Ward 14,13.188284156537158
21008015: Ward 15,16.009914975689597
