ward,target
21001001: Ward 1,19.267337842091155
21001002: Ward 2,14.008453047357172
21001003: Ward 3,19.608863103851164
21001004: Ward 4,17.138754036956804
21001005: Ward 5,21.165730322876314
21001006: Ward 6,22.482874976800645
21001007: Ward 7,13.454155648593225
21002001: Ward 1,18.10758985700231
21002002: Ward 2,16.93646841077667
21002003: Ward 3,22.717228318299796
21002004: Ward 4,20.505991306458995
21002005: Ward 5,17.857807532435384
21002006: Ward 6,18.07147396971278
21004001: Ward 1,14.705836571107696
21004002: Ward 2,23.33062079153214
21004003: Ward 3,15.715154112000944
21004004: Ward 4,11.465607758221687
21004005: Ward 5,23.04996408658253
21004006: Ward 6,20.928749010393
21004007: Ward 7,23.610889647615302
21004008: Ward 8,12.39839712693729
21004009: Ward 9,22.904231498332905
21004010: Ward 10,22.468314691228333
21004011: Ward 11,26.3111369225577
21004012: Ward 12,10.872823094827748
21004013: Ward 13,19.519094154595034
21004014: Ward 14,18.179481437473523
21005001: Ward 1,27.28160240238477
21005002: Ward 2,17.681109773613915
21005003: Ward 3,18.5986253441649
21005004: Ward 4,18.325739961051546
21005005: Ward 5,19.69228644404355
21005006: Ward 6,16.379564567125083
21005007: Ward 7,29.43416258108224
21005008: Ward 8,25.90086290959215
21005009: Ward 9,22.751669291112854
21005010: Ward 10,5.244929231269179
21006001: Ward 1,21.296234653629078
21006002: Ward 2,17.626927004730327
21006003: Ward 3,17.61921005685415
21006004: Ward 4,21.272276083255335
21006005: Ward 5,21.847030318716378
21006006: Ward 6,18.677568835294455
21006007: Ward 7,14.722270320327555
21006008: Ward 8,21.03365590623421
21008001: Ward 1,16.190657967958415
21008002: Ward 2,14.846160559044423
21008003: Ward 3,7.025522842140712
21008004: Ward 4,17.300532667929687
21008005: Ward 5,17.22573919527634
21008006: Ward 6,22.864523000323725
21008007: Ward 7,14.846668295336478
21008008: Ward 8,8.612361806919239
21008009: Ward 9,18.523453203844106
21008010: Ward 10,19.752249045068588
21008011: Ward 11,8.095824074580875
21008012: Ward 12,12.71528111775401
21008013: Ward 13,15.708753845907243
21008014: Ward 14,12.499281791303172
21008015: Ward 15,14.494801135578417
21009001: Ward 1,16.505603410630115
21009002: Ward 2,14.971158334310116
21009003: Ward 3,19.05362335472218
21009004: Ward 4,15.392175566251858
21009005: Ward 5,17.82051231360952
21009006: Ward 6,15.504753888974324
21201001: Ward 1,24.162209154677704
21201002: Ward 2,33.69978185001848
21201003: Ward 3,37.69284434516008
