ward,target
21001001: Ward 1,18.65395491157249
21001002: Ward 2,13.045863950847627
21001003: Ward 3,20.486400863744915
21001004: Ward 4,15.844018271727013
21001005: Ward 5,21.146925619570183
21001006: Ward 6,23.358710559209207
21001007: Ward 7,12.772442043688368
21002001: Ward 1,15.462930655341607
21002002: Ward 2,16.577275734984518
21002003: Ward 3,22.33421243105351
21002004: Ward 4,20.408884560396658
21002005: Ward 5,16.485234075841728
21002006: Ward 6,14.59202153673266
21004001: Ward 1,14.402948855104725
21004002: Ward 2,23.680819748268995
21004003: Ward 3,15.372740263780882
21004004: Ward 4,11.494600540735494
21004005: Ward 5,22.039590448987624
21004006: Ward 6,21.428106402483273
21004007: Ward 7,26.21581243294065
21004008: Ward 8,13.892627517243781
21004009: Ward 9,23.816582069386442
21004010: Ward 10,23.17522936214516
21004011: Ward 11,26.73916910673831
21004012: Ward 12,12.306529416381998
21004013: Ward 13,20.02268147086607
21004014: Ward 14,15.419416795932408
21005001: Ward 1,27.294233357325474
21005002: Ward 2,15.6390027935889
21005003: Ward 3,17.97380806864034
21005004: Ward 4,16.21489085959893
21005005: Ward 5,21.516829884406484
21005006: Ward 6,14.926596106973069
21005007: Ward 7,28.45331606595453
21005008: Ward 8,25.15737547471914
21005009: Ward 9,21.93063698702515
21005010: Ward 10,8.498904111945354
21006001: Ward 1,19.842770844609866
21006002: Ward 2,17.601111450371256
21006003: Ward 3,15.326928026270966
21006004: Ward 4,20.457753619866107
21006005: Ward 5,22.00272440577045
21006006: Ward 6,16.519901957623617
21006007: Ward 7,13.153068234863568
21006008: Ward 8,17.036787432782724
21008001: Ward 1,14.859902682505671
21008002: Ward 2,16.218496956851304
21008003: Ward 3,8.084658860859324
21008004: Ward 4,16.156448048954292
21008005: Ward 5,17.077398969853224
21008006: Ward 6,24.002911154739117
21008007: Ward 7,13.133010134869822
21008008: Ward 8,8.11602335406295
21008009: Ward 9,17.432159838443592
21008010: Ward 10,17.848120765285245
21008011: Ward 11,7.984698652940741
21008012: Ward 12,10.768346396246226
21008013: Ward 13,16.82036320549971
21008014: Ward 14,13.000420959624165
21008015: Ward 15,15.12516953939879
21009001: Ward 1,15.086589898141899
21009002: Ward 2,12.57297085913179
21009003: Ward 3,17.129317357065986
21009004: Ward 4,14.935588524668358
21009005: Ward 5,17.178037562914014
21009006: Ward 6,15.342560723568392
21201001: Ward 1,27.342822901566848
21201002: Ward 2,34.48528105929674
21201003: Ward 3,36.40823634980613
21201004: Ward 4,37.620791695042115
21201005: Ward 5,36.488886303455374
21201006: Ward 6,37.06894108341389
21201007: Ward 7,37.95328799513581
21201008: Ward 8,39.95837607014039
21201009: Ward 9,34.48407892430592
21201010: Ward 10,36.55745686132714
21201011: Ward 11,37.49384169802357
