ward,target
21001001: Ward 1,18.591028374740315
21001002: Ward 2,14.003911009228748
21001003: Ward 3,20.484545836965022
21001004: Ward 4,15.652785788011128
21001005: Ward 5,20.83383274282421
21001006: Ward 6,22.660522576760926
21001007: Ward 7,12.446695790447611
21002001: Ward 1,16.536695144799292
21002002: Ward 2,17.76821346241924
21002003: Ward 3,22.61213823658325
21002004: Ward 4,20.348098953431723
21002005: Ward 5,17.966192383193366
21002006: Ward 6,16.010315513227496
21004001: Ward 1,14.944997361412819
21004002: Ward 2,23.08284417842203
21004003: Ward 3,17.263701393847462
21004004: Ward 4,11.02184216694153
21004005: Ward 5,23.180474288387337
21004006: Ward 6,19.984693387138464
21004007: Ward 7,24.37506668050167
21004008: Ward 8,12.602667481537804
21004009: Ward 9,22.75556137799782
21004010: Ward 10,23.493519047188997
21004011: Ward 11,26.15796552231459
21004012: Ward 12,12.061975484923094
21004013: Ward 13,17.510476654403668
21004014: Ward 14,17.096878504329723
21005001: Ward 1,27.18641222760344
21005002: Ward 2,17.203043453255887
21005003: Ward 3,17.100693886412024
21005004: Ward 4,17.77176863428268
21005005: Ward 5,19.688230663147728
21005006: Ward 6,15.238212137229237
21005007: Ward 7,27.981354556449674
21005008: Ward 8,23.76195706582634
21005009: Ward 9,21.29307676482111
21005010: Ward 10,8.71408099988636
21006001: Ward 1,18.343985157825976
21006002: Ward 2,17.377071841351274
21006003: Ward 3,16.688434579117825
21006004: Ward 4,19.12840567370357
21006005: Ward 5,19.43434298332147
21006006: Ward 6,17.956946804983616
21006007: Ward 7,14.937681130778218
21006008: Ward 8,19.587098649859122
21008001: Ward 1,15.249182426704476
21008002: Ward 2,16.754997268173547
21008003: Ward 3,8.33351835024932
21008004: Ward 4,16.675757438983318
21008005: Ward 5,17.07147370975855
21008006: Ward 6,23.543883717227093
21008007: Ward 7,13.573082021457939
21008008: Ward 8,8.566093625388088
21008009: Ward 9,19.2293272663214
21008010: Ward 10,19.284605162121363
21008011: Ward 11,8.177736261260563
21008012: Ward 12,14.407317876007504
21008013: Ward 13,14.603403067811227
21008014: Ward 14,14.442877494424959
21008015: Ward 15,15.487574917711072
21009001: Ward 1,16.441800005440854
21009002: Ward 2,14.388294587259097
21009003: Ward 3,18.133815695304467
21009004: Ward 4,16.634723365707128
21009005: Ward 5,17.12749410538433
