ward,target
21001001: Ward 1,18.677995630023226
21001002: Ward 2,14.606602281119724
21001003: Ward 3,19.037253601138378
21001004: Ward 4,17.107617529693645
21001005: Ward 5,20.363514491102805
21001006: Ward 6,22.13135952623641
21001007: Ward 7,12.78629545527081
21002001: Ward 1,17.991116313315295
21002002: Ward 2,17.642661235527154
21002003: Ward 3,23.09440048037972
21002004: Ward 4,20.76228437534118
21002005: Ward 5,17.677080444335097
21002006: Ward 6,17.646891991702375
21004001: Ward 1,15.43391390497279
21004002: Ward 2,22.853586285054785
21004003: Ward 3,15.809567556139685
21004004: Ward 4,11.189628726661095
21004005: Ward 5,23.799251818910676
21004006: Ward 6,20.52026343553544
21004007: Ward 7,24.226161684354174
21004008: Ward 8,12.896606136498377
21004009: Ward 9,23.200978303814722
21004010: Ward 10,23.300540736434623
21004011: Ward 11,26.289921332686966
21004012: Ward 12,11.080051067855393
21004013: Ward 13,19.763139862041456
21004014: Ward 14,18.006130050707043
21005001: Ward 1,27.86846541520592
21005002: Ward 2,17.92294036561151
21005003: Ward 3,18.18703143791826
21005004: Ward 4,18.223024471299645
21005005: Ward 5,19.362651595224612
21005006: Ward 6,15.696284445742293
21005007: Ward 7,28.946788329576687
21005008: Ward 8,24.98073765110115
21005009: Ward 9,22.733040097549317
21005010: Ward 10,6.336709892098915
21006001: Ward 1,20.87581872516916
21006002: Ward 2,17.309796847442136
21006003: Ward 3,18.20991156928271
21006004: Ward 4,20.82030089366617
21006005: Ward 5,21.705847931438726
21006006: Ward 6,18.18148134358521
21006007: Ward 7,15.073147638938938
21006008: Ward 8,21.057519355732083
21008001: Ward 1,16.14346109941811
21008002: Ward 2,15.829668845352531
21008003: Ward 3,8.25142959017537
21008004: Ward 4,17.63391767375493
21008005: Ward 5,17.835993738851815
21008006: Ward 6,23.978180228344666
21008007: Ward 7,14.108946734595337
21008008: Ward 8,9.038822110852747
21008009: Ward 9,18.428457582708674
21008010: Ward 10,19.271291350373126
21008011: Ward 11,8.478798369532807
21008012: Ward 12,13.022629829847489
21008013: Ward 13,15.645521283716107
21008014: Ward 14,13.104105868637538
21008015: Ward 15,14.970410945791954
21009001: Ward 1,16.75233083778442
21009002: Ward 2,14.614951656907518
21009003: Ward 3,18.701923345196015
21009004: Ward 4,14.731275686169589
21009005: Ward 5,17.498306425861593
21009006: Ward 6,15.82917690118569
21201001: Ward 1,24.63076598597705
21201002: Ward 2,34.139524044527285
21201003: Ward 3,37.59356763218723
21201004: Ward 4,38.067408275055485
21201005: Ward 5,36.842910166013475
21201006: Ward 6,37.56519822712861
21201007: Ward 7,38.351727743620046
21201008: Ward 8,40.09772080366387
21201009: Ward 9,32.443616033599476
21201010: Ward 10,36.83341252230754
21201011: Ward 11,37.45849686296161
21201012: Ward 12,37.63281902460377
21201013: Ward 13,32.425824699821504
