ward,target
21001001: Ward 1,18.59693879070116
21001002: Ward 2,13.404000732002899
21001003: Ward 3,20.83788047030123
21001004: Ward 4,15.745705486478174
21001005: Ward 5,21.329201784741446
21001006: Ward 6,24.0536867866329
21001007: Ward 7,11.65223005220452
21002001: Ward 1,16.476810040132865
21002002: Ward 2,17.17982106397811
21002003: Ward 3,23.335160157950455
21002004: Ward 4,21.582058626202084
21002005: Ward 5,18.45850066366041
21002006: Ward 6,14.486794802298267
21004001: Ward 1,13.682167694537561
21004002: Ward 2,22.69547189948353
21004003: Ward 3,17.430244970906525
21004004: Ward 4,12.962482260085011
21004005: Ward 5,25.58204125823701
21004006: Ward 6,19.757640334682904
21004007: Ward 7,26.52786390263682
21004008: Ward 8,13.566951320051462
21004009: Ward 9,23.93711552469422
21004010: Ward 10,23.49835225332216
21004011: Ward 11,27.657984191841287
21004012: Ward 12,9.352859055383647
21004013: Ward 13,18.42508060046083
21004014: Ward 14,15.78165300423829
21005001: Ward 1,27.27144001684828
21005002: Ward 2,17.48865377273204
21005003: Ward 3,18.33483954928169
21005004: Ward 4,18.49766113088011
21005005: Ward 5,18.593847910155453
21005006: Ward 6,15.27320978345527
21005007: Ward 7,29.654968450572806
21005008: Ward 8,21.980461259558716
21005009: Ward 9,19.065506934437288
21005010: Ward 10,5.036699347771648
21006001: Ward 1,18.096045294755644
21006002: Ward 2,16.894347641995772
21006003: Ward 3,17.310049009691415
21006004: Ward 4,19.21147828456479
21006005: Ward 5,19.509700393004415
21006006: Ward 6,14.663860838807686
21006007: Ward 7,14.73701879777408
21006008: Ward 8,18.929455686328986
21008001: Ward 1,15.047605022906502
21008002: Ward 2,17.607537517383737
21008003: Ward 3,5.5561575416266376
21008004: Ward 4,17.884087643668053
21008005: Ward 5,18.180056536828587
21008006: Ward 6,25.173381323888137
21008007: Ward 7,15.331174619646422
21008008: Ward 8,8.077372903139477
21008009: Ward 9,18.596883000693648
21008010: Ward 10,18.20120145752493
21008011: Ward 11,7.343266257772531
21008012: Ward 12,13.110399293455977
21008013: Ward 13,14.241757460672087
21008014: Ward 14,14.454938973074416
21008015: Ward 15,14.582904871098572
21009001: Ward 1,14.834212750383806
21009002: Ward 2,14.169231253617575
21009003: Ward 3,18.882883353314536
21009004: Ward 4,15.638663944976674
21009005: Ward 5,17.165957358973642
21009006: Ward 6,16.26638546431831
21201001: Ward 1,25.854170139333153
21201002: Ward 2,35.72574364005676
21201003: Ward 3,39.01172319295433
21201004: Ward 4,40.446306084458286
21201005: Ward 5,37.441372079843475
21201006: Ward 6,38.117889067689944
21201007: Ward 7,42.35572564545128
21201008: Ward 8,43.00942875247099
21201009: Ward 9,33.284761811494604
21201010: Ward 10,36.69188050981096
21201011: Ward 11,40.33693212208139
21201012: Ward 12,38.8095852527286
21201013: Ward 13,32.81043045435263
21201014: Ward 14,44.8113239922117
21201015: Ward 15,44.90264006543619
21201016: Ward 16,45.232180558350734
21201017: Ward 17,45.87541455136985
21201018: Ward 18,44.1374147715653
21201019: Ward 19,43.03541745418663
21201020: Ward 20,45.41560074228502
21201021: Ward 21,33.495473095257694
21201022: Ward 22,41.69944534715073
21201023: Ward 23,41.01413080097841
21201024: Ward 24,33.91474797063108
21201025: Ward 25,27.99414783682989
21201026: Ward 26,45.30445950146756
21201027: Ward 27,34.494671170918025
21201028: Ward 28,38.47954995298818
21201029: Ward 29,34.50797810617176
21201030: Ward 30,34.68187911771226
21201031: Ward 31,40.149211251578706
21202001: Ward 1,19.54778382828775
21202002: Ward 2,27.280244957018326
21202003: Ward 3,30.318540756371597
21202004: Ward 4,23.84593948873797
21202005: Ward 5,29.086992841613604
21202006: Ward 6,29.36713625488083
21202007: Ward 7,32.022569795736956
21202008: Ward 8,35.748244554348865
21202009: Ward 9,33.67569326037922
21202010: Ward 10,34.75882417739406
21202011: Ward 11,34.91622168648372
21202012: Ward 12,34.652496956918625
21202013: Ward 13,33.4238046395265
21202014: Ward 14,33.09824793841097
21202015: Ward 15,38.373801649961536
21202016: Ward 16,32.24293890377249
21202017: Ward 17,34.5580566916652
21202018: Ward 18,32.34364503772078
21202019: Ward 19,35.71545667781018
21202020: Ward 20,35.84318671849743
21202021: Ward 21,35.916665939719636
21202022: Ward 22,38.75088352957133
21202023: Ward 23,38.84486457232492
21202024: Ward 24,38.8846746213968
21202025: Ward 25,40.080117830691535
21202026: Ward 26,38.17545828426063
21202027: Ward 27,38.549717551920295
21202028: Ward 28,34.96501748496989
21202029: Ward 29,36.686776197602896
21202030: Ward 30,32.47437432567237
21202031: Ward 31,38.52753400929067
21203001: Ward 1,19.2648435257829
21203002: Ward 2,31.524757863309627
21203003: Ward 3,30.13792867332159
21203004: Ward 4,32.58253500796516
21203005: Ward 5,25.31009762492913
21203006: Ward 6,18.656136496613577
21203007: Ward 7,22.331911766527682
21204001: Ward 1,32.257854508122534
21204002: Ward 2,25.740866445564563
21204003: Ward 3,33.637426338983914
21204004: Ward 4,20.645333791614704
21204005: Ward 5,26.582390268298752
21204006: Ward 6,22.259209070304607
21204007: Ward 7,33.976585382256204
21204008: Ward 8,32.19140151317002
21204009: Ward 9,27.179922860192907
21204010: Ward 10,28.59516618572984
21204011: Ward 11,33.23350154934555
21204012: Ward 12,35.783506142769156
21204013: Ward 13,31.849906488313458
