ward,target
21001001: Ward 1,19.170510454240254
21001002: Ward 2,13.888116869309481
21001003: Ward 3,19.766061862978233
21001004: Ward 4,17.104776899224518
21001005: Ward 5,20.91875790979629
21001006: Ward 6,22.195974321362797
21001007: Ward 7,13.296920691179512
21002001: Ward 1,17.90784517957021
21002002: Ward 2,16.954643451682614
21002003: Ward 3,22.623485436701383
21002004: Ward 4,20.356092733593208
21002005: Ward 5,17.853029378340164
21002006: Ward 6,17.91389112694581
21004001: Ward 1,15.13306279987591
21004002: Ward 2,23.08039336747398
21004003: Ward 3,15.709140657451268
21004004: Ward 4,11.644065332042121
21004005: Ward 5,23.200060459999346
21004006: Ward 6,21.147367537463943
21004007: Ward 7,23.809363556197354
21004008: Ward 8,12.567751494480468
21004009: Ward 9,22.785217689397058
21004010: Ward 10,22.71965223747852
21004011: Ward 11,26.143878279839495
21004012: Ward 12,11.044187699373339
21004013: Ward 13,19.67988372664496
21004014: Ward 14,18.212652185767666
21005001: Ward 1,27.006686637280588
21005002: Ward 2,17.78324782482948
21005003: Ward 3,18.85850613883383
21005004: Ward 4,18.4889548120478
21005005: Ward 5,19.6147526109873
21005006: Ward 6,16.369049004551144
21005007: Ward 7,29.30523955697299
21005008: Ward 8,25.676169785836095
21005009: Ward 9,22.412733421959103
21005010: Ward 10,5.247844368785434
21006001: Ward 1,21.303292873525493
21006002: Ward 2,18.022908710681385
21006003: Ward 3,17.704611832252834
21006004: Ward 4,21.438999385637757
21006005: Ward 5,21.64266926399535
21006006: Ward 6,18.70937462887923
21006007: Ward 7,14.7044214750218
21006008: Ward 8,21.019450666705247
21008001: Ward 1,16.085471970188422
21008002: Ward 2,14.844364540873801
21008003: Ward 3,6.91169718298589
21008004: Ward 4,17.352944518194683
21008005: Ward 5,17.317678720123176
21008006: Ward 6,22.582513662905722
21008007: Ward 7,14.448685690533964
21008008: Ward 8,8.685997824870077
21008009: Ward 9,18.56539814027486
21008010: Ward 10,19.609291824656317
21008011: Ward 11,8.175569045153388
21008012: Ward 12,12.65257105549589
21008013: Ward 13,15.58511019004787
21008014: Ward 14,12.929938274563437
21008015: Ward 15,14.69505032492201
21009001: Ward 1,16.648940102080175
21009002: Ward 2,14.763298411025227
21009003: Ward 3,18.945747945787573
21009004: Ward 4,15.24026100598546
21009005: Ward 5,18.07898580376571
21009006: Ward 6,15.74724663985379
21201001: Ward 1,24.238743404864586
21201002: Ward 2,33.678654724746266
21201003: Ward 3,37.94042818625546
21201004: Ward 4,38.34930951258119
21201005: Ward 5,37.10687796860738
21201006: Ward 6,36.9369649139002
21201007: Ward 7,37.54740617768148
21201008: Ward 8,39.08175570089962
21201009: Ward 9,32.35583664704447
21201010: Ward 10,37.2521575653234
21201011: Ward 11,38.642363504571854
21201012: Ward 12,36.61198225864018
21201013: Ward 13,31.796489530418214
21201014: Ward 14,43.75835055130712
21201015: Ward 15,44.12424916257986
21201016: Ward 16,43.69904473995122
21201017: Ward 17,43.17965285970563
21201018: Ward 18,43.71928681744497
21201019: Ward 19,41.53964876402842
21201020: Ward 20,44.078899946871964
21201021: Ward 21,34.075496654658316
21201022: Ward 22,39.80881933628393
21201023: Ward 23,36.89760874409351
21201024: Ward 24,33.34052168535378
21201025: Ward 25,27.734284670399937
21201026: Ward 26,44.75772182672215
21201027: Ward 27,32.766081265190266
21201028: Ward 28,35.723521532251574
21201029: Ward 29,32.77269622557513
21201030: Ward 30,35.08001754907366
21201031: Ward 31,37.49193591157059
21202001: Ward 1,19.86808001398156
21202002: Ward 2,25.601773567139848
21202003: Ward 3,27.88445982213688
21202004: Ward 4,23.67631715849994
21202005: Ward 5,27.939290140691107
21202006: Ward 6,29.836894032745406
21202007: Ward 7,33.35631255109603
21202008: Ward 8,34.239389840373946
21202009: Ward 9,30.466441503673355
21202010: Ward 10,34.89320047834116
21202011: Ward 11,33.0230004308809
21202012: Ward 12,33.629780550696466
21202013: Ward 13,32.66265659007377
21202014: Ward 14,34.656700013252426
