ward,target
21001001: Ward 1,18.26581
21001002: Ward 2,12.915067
21001003: Ward 3,19.089216
21001004: Ward 4,16.467018
21001005: Ward 5,20.166603
21001006: Ward 6,21.113224
21001007: Ward 7,12.250764
21002001: Ward 1,17.311155
21002002: Ward 2,17.41229
21002003: Ward 3,21.31043
21002004: Ward 4,21.949528
21002005: Ward 5,17.846176
21002006: Ward 6,15.727042
21004001: Ward 1,13.184968
21004002: Ward 2,23.01698
21004003: Ward 3,16.006176
21004004: Ward 4,10.412908
21004005: Ward 5,24.262234
21004006: Ward 6,20.850578
21004007: Ward 7,21.714128
21004008: Ward 8,12.518203
21004009: Ward 9,22.896454
21004010: Ward 10,22.548101
21004011: Ward 11,24.630348
21004012: Ward 12,13.482985
21004013: Ward 13,18.708424
21004014: Ward 14,18.598196
21005001: Ward 1,28.563316
21005002: Ward 2,19.131926
21005003: Ward 3,18.09703
21005004: Ward 4,17.293686
21005005: Ward 5,19.68022
21005006: Ward 6,15.602763
21005007: Ward 7,28.913841
21005008: Ward 8,25.644627
21005009: Ward 9,20.955235
21005010: Ward 10,4.525604
21006001: Ward 1,19.656189
21006002: Ward 2,17.499317
21006003: Ward 3,18.047897
21006004: Ward 4,18.937443
21006005: Ward 5,19.060783
21006006: Ward 6,15.5282
21006007: Ward 7,14.213571
21006008: Ward 8,20.995657
21008001: Ward 1,14.807007
21008002: Ward 2,14.32767
21008003: Ward 3,2.7841425
21008004: Ward 4,16.520163
21008005: Ward 5,17.443686
21008006: Ward 6,22.518179
21008007: Ward 7,15.670581
21008008: Ward 8,5.5518937
21008009: Ward 9,17.684153
21008010: Ward 10,18.326153
21008011: Ward 11,6.6716423
21008012: Ward 12,11.03746
21008013: Ward 13,16.997295
21008014: Ward 14,12.873877
21008015: Ward 15,14.493758
21009001: Ward 1,14.06497
21009002: Ward 2,15.334668
21009003: Ward 3,17.333893
21009004: Ward 4,14.83389
21009005: Ward 5,16.588135
21009006: Ward 6,14.496903
21201001: Ward 1,24.440767
21201002: Ward 2,33.017593
21201003: Ward 3,36.50043
21201004: Ward 4,38.832703
21201005: Ward 5,34.49645
21201006: Ward 6,35.91255
21201007: Ward 7,37.876766
21201008: Ward 8,40.599163
21201009: Ward 9,30.849167
21201010: Ward 10,36.72182
21201011: Ward 11,38.043934
21201012: Ward 12,38.25196
21201013: Ward 13,32.82228
21201014: Ward 14,42.870106
21201015: Ward 15,44.445606
21201016: Ward 16,46.653893
21201017: Ward 17,43.96709
21201018: Ward 18,43.926502
21201019: Ward 19,43.002808
21201020: Ward 20,43.36583
21201021: Ward 21,34.879066
21201022: Ward 22,40.70549
21201023: Ward 23,37.51013
21201024: Ward 24,33.686863
21201025: Ward 25,26.354929
21201026: Ward 26,46.372322
21201027: Ward 27,31.762943
21201028: Ward 28,36.039146
21201029: Ward 29,32.270203
21201030: Ward 30,34.99491
21201031: Ward 31,36.466408
21202001: Ward 1,20.211569
21202002: Ward 2,24.8924
21202003: Ward 3,25.278202
21202004: Ward 4,20.744823
21202005: Ward 5,27.44902
21202006: Ward 6,31.238823
21202007: Ward 7,30.86465
21202008: Ward 8,32.98959
21202009: Ward 9,29.326635
21202010: Ward 10,35.010983
21202011: Ward 11,34.981262
21202012: Ward 12,32.899033
21202013: Ward 13,31.947731
21202014: Ward 14,34.761215
21202015: Ward 15,37.54927
21202016: Ward 16,30.381046
21202017: Ward 17,32.616806
21202018: Ward 18,29.862385
21202019: Ward 19,33.68208
21202020: Ward 20,33.90094
21202021: Ward 21,33.086487
21202022: Ward 22,36.401802
21202023: Ward 23,37.479733
21202024: Ward 24,35.81578
21202025: Ward 25,37.358616
21202026: Ward 26,33.949215
21202027: Ward 27,33.5775
21202028: Ward 28,36.17602
21202029: Ward 29,32.8723
21202030: Ward 30,31.509604
21202031: Ward 31,37.018143
21203001: Ward 1,21.029608
21203002: Ward 2,30.784004
21203003: Ward 3,30.273375
21203004: Ward 4,28.72437
21203005: Ward 5,24.769794
21203006: Ward 6,17.236452
21203007: Ward 7,21.033813
21204001: Ward 1,28.957779
21204002: Ward 2,27.213722
21204003: Ward 3,32.123047
21204004: Ward 4,21.78061
21204005: Ward 5,25.361074
21204006: Ward 6,22.959568
21204007: Ward 7,32.307
21204008: Ward 8,29.851927
21204009: Ward 9,25.131273
21204010: Ward 10,30.945864
21204011: Ward 11,28.336702
21204012: Ward 12,33.50196
21204013: Ward 13,28.083498
21204014: Ward 14,25.721416
21204015: Ward 15,31.933943
21206001: Ward 1,28.654625
21206002: Ward 2,30.604282
21206003: Ward 3,30.661367
21206004: Ward 4,31.940094
21206005: Ward 5,32.580273
21206006: Ward 6,27.683174
21206007: Ward 7,24.068514
21206008: Ward 8,29.252193
21206009: Ward 9,29.21028
21206010: Ward 10,22.4258
21206011: Ward 11,24.540823
21206012: Ward 12,26.546453
21301001: Ward 1,26.395632
21301002: Ward 2,23.317696
21301003: Ward 3,23.882788
21301004: Ward 4,20.477133
21301005: Ward 5,7.3929114
21301006: Ward 6,19.432598
21301007: Ward 7,20.105566
21301008: Ward 8,17.785154
21301009: Ward 9,19.36661
21305001: Ward 1,33.815434
21305002: Ward 2,30.043623
