ward,target
21001001: Ward 1,18.407434
21001002: Ward 2,12.805488
21001003: Ward 3,19.522554
21001004: Ward 4,15.588803
21001005: Ward 5,20.715034
21001006: Ward 6,22.0487
21001007: Ward 7,11.69893
21002001: Ward 1,17.524818
21002002: Ward 2,17.524143
21002003: Ward 3,22.542341
21002004: Ward 4,21.571077
21002005: Ward 5,18.477213
21002006: Ward 6,15.256915
21004001: Ward 1,13.913853
21004002: Ward 2,22.78394
21004003: Ward 3,17.09594
21004004: Ward 4,12.4124155
21004005: Ward 5,24.465576
21004006: Ward 6,20.505121
21004007: Ward 7,24.024193
21004008: Ward 8,13.333522
21004009: Ward 9,23.221579
21004010: Ward 10,22.956207
21004011: Ward 11,26.153898
21004012: Ward 12,11.207435
21004013: Ward 13,19.140263
21004014: Ward 14,17.213673
21005001: Ward 1,27.058535
21005002: Ward 2,18.867437
21005003: Ward 3,19.283709
21005004: Ward 4,18.021591
21005005: Ward 5,19.663853
21005006: Ward 6,16.387276
21005007: Ward 7,29.478418
21005008: Ward 8,24.609676
21005009: Ward 9,20.62488
21005010: Ward 10,4.6960616
21006001: Ward 1,19.465006
21006002: Ward 2,17.624266
21006003: Ward 3,18.356691
21006004: Ward 4,19.965225
21006005: Ward 5,20.25407
21006006: Ward 6,14.704593
21006007: Ward 7,15.214624
21006008: Ward 8,20.36517
21008001: Ward 1,15.927195
21008002: Ward 2,15.236577
21008003: Ward 3,4.2349286
21008004: Ward 4,17.087193
21008005: Ward 5,17.603168
21008006: Ward 6,23.39689
21008007: Ward 7,15.834631
21008008: Ward 8,6.572881
21008009: Ward 9,17.912525
21008010: Ward 10,18.6936
21008011: Ward 11,6.7515783
21008012: Ward 12,11.962964
21008013: Ward 13,15.771474
21008014: Ward 14,13.460005
21008015: Ward 15,14.816267
21009001: Ward 1,14.193206
21009002: Ward 2,14.63051
21009003: Ward 3,18.03887
21009004: Ward 4,15.1301365
21009005: Ward 5,17.539024
21009006: Ward 6,15.894326
21201001: Ward 1,25.431356
21201002: Ward 2,34.40604
21201003: Ward 3,38.17517
21201004: Ward 4,39.613995
21201005: Ward 5,35.600452
21201006: Ward 6,36.794304
21201007: Ward 7,40.91372
21201008: Ward 8,42.0269
21201009: Ward 9,31.901443
21201010: Ward 10,36.607975
21201011: Ward 11,39.95936
21201012: Ward 12,38.53494
21201013: Ward 13,32.786526
21201014: Ward 14,44.615635
21201015: Ward 15,45.001358
21201016: Ward 16,46.504684
21201017: Ward 17,45.28159
21201018: Ward 18,44.32188
21201019: Ward 19,43.33827
21201020: Ward 20,45.08348
21201021: Ward 21,33.372524
21201022: Ward 22,41.513363
21201023: Ward 23,39.333874
21201024: Ward 24,34.020706
21201025: Ward 25,26.912777
21201026: Ward 26,46.505672
21201027: Ward 27,33.11786
21201028: Ward 28,36.386776
21201029: Ward 29,33.353912
21201030: Ward 30,34.62378
21201031: Ward 31,38.65488
21202001: Ward 1,19.528502
21202002: Ward 2,25.781881
21202003: Ward 3,28.128542
21202004: Ward 4,21.653503
21202005: Ward 5,28.1964
21202006: Ward 6,30.864294
21202007: Ward 7,30.614346
21202008: Ward 8,34.6899
21202009: Ward 9,31.011972
21202010: Ward 10,34.459564
21202011: Ward 11,35.012802
21202012: Ward 12,34.045776
21202013: Ward 13,32.44781
21202014: Ward 14,33.814335
21202015: Ward 15,38.64745
21202016: Ward 16,31.578924
21202017: Ward 17,33.515965
21202018: Ward 18,30.735361
21202019: Ward 19,34.620655
21202020: Ward 20,34.94645
21202021: Ward 21,34.3803
21202022: Ward 22,37.876926
21202023: Ward 23,38.366707
21202024: Ward 24,37.69865
21202025: Ward 25,38.935646
21202026: Ward 26,36.367752
21202027: Ward 27,36.535805
21202028: Ward 28,35.91306
21202029: Ward 29,35.020855
21202030: Ward 30,31.60311
21202031: Ward 31,37.961784
21203001: Ward 1,19.74409
21203002: Ward 2,31.210669
21203003: Ward 3,30.344011
21203004: Ward 4,30.965809
21203005: Ward 5,24.528954
21203006: Ward 6,18.19969
21203007: Ward 7,21.958435
21204001: Ward 1,30.599924
21204002: Ward 2,26.646362
21204003: Ward 3,33.830093
21204004: Ward 4,20.965244
21204005: Ward 5,25.63956
21204006: Ward 6,22.230017
21204007: Ward 7,33.628674
21204008: Ward 8,31.338552
21204009: Ward 9,25.80338
21204010: Ward 10,29.508118
21204011: Ward 11,31.27393
21204012: Ward 12,34.521336
21204013: Ward 13,30.349073
21204014: Ward 14,28.058075
21204015: Ward 15,32.178032
21206001: Ward 1,31.51325
21206002: Ward 2,30.88516
21206003: Ward 3,31.552937
21206004: Ward 4,31.639769
21206005: Ward 5,34.110504
21206006: Ward 6,28.133337
21206007: Ward 7,25.053114
21206008: Ward 8,29.607857
21206009: Ward 9,30.035805
21206010: Ward 10,22.61856
21206011: Ward 11,25.12455
21206012: Ward 12,27.937824
21301001: Ward 1,26.138956
21301002: Ward 2,22.726667
21301003: Ward 3,23.569714
21301004: Ward 4,21.039227
21301005: Ward 5,8.235547
21301006: Ward 6,18.80867
21301007: Ward 7,21.641956
21301008: Ward 8,18.62075
21301009: Ward 9,19.733295
21305001: Ward 1,34.273468
21305002: Ward 2,29.577398
21305003: Ward 3,33.087128
21305004: Ward 4,30.681726
21305005: Ward 5,38.70984
21305006: Ward 6,33.23325
21305007: Ward 7,33.236786
21305008: Ward 8,30.51201
21305009: Ward 9,38.823612
21305010: Ward 10,32.705975
21305011: Ward 11,44.984535
21305012: Ward 12,36.239918
21305013: Ward 13,34.322613
21305014: Ward 14,26.213913
21305015: Ward 15,29.597458
21305016: Ward 16,36.163666
21305017: Ward 17,31.584396
21305018: Ward 18,37.529984
21305019: Ward 19,35.68145
21305020: Ward 20,38.363705
21305021: Ward 21,40.81281
21306001: Ward 1,34.344322
21306002: Ward 2,33.451656
21306003: Ward 3,32.83727
21306004: Ward 4,29.045382
21306005: Ward 5,31.485775
21306006: Ward 6,32.46675
21306007: Ward 7,33.73504
21306008: Ward 8,34.56333
21306009: Ward 9,37.85001
21306010: Ward 10,33.46165
21306011: Ward 11,27.869703
21306012: Ward 12,33.540955
21306013: Ward 13,33.053844
21306014: Ward 14,24.156103
21306015: Ward 15,28.841211
21306016: Ward 16,26.251825
21306017: Ward 17,30.776752
21307001: Ward 1,43.738667
21307002: Ward 2,41.956924
21307003: Ward 3,42.623245
21307004: Ward 4,38.64836
21307005: Ward 5,40.711643
21307006: Ward 6,41.004658
21307007: Ward 7,38.566643
21307008: Ward 8,34.73902
21307009: Ward 9,35.15384
21307010: Ward 10,29.096842
21307011: Ward 11,22.038164
21307012: Ward 12,39.629726
21307013: Ward 13,43.579
21307014: Ward 14,36.671253
21307015: Ward 15,40.50061
21307016: Ward 16,38.059155
21307017: Ward 17,34.237255
21307018: Ward 18,34.571026
21307019: Ward 19,40.651638
21307020: Ward 20,40.652348
21308001: Ward 1,18.42676
21308002: Ward 2,29.494514
21308003: Ward 3,32.83912
21308004: Ward 4,21.561766
21308005: Ward 5,30.241388
21308006: Ward 6,32.100258
21308007: Ward 7,36.163578
21308008: Ward 8,32.419556
21308009: Ward 9,34.835106
21401001: Ward 1,32.581196
21401002: Ward 2,27.609121
21401003: Ward 3,24.924517
21401004: Ward 4,25.28506
21401005: Ward 5,30.737467
21401006: Ward 6,33.545113
21401007: Ward 7,36.035736
21401008: Ward 8,45.17016
21401009: Ward 9,33.771683
21401010: Ward 10,38.365852
