ward,target
21001001: Ward 1,18.486563
21001002: Ward 2,13.241023
21001003: Ward 3,20.254992
21001004: Ward 4,15.986142
21001005: Ward 5,20.941668
21001006: Ward 6,23.073532
21001007: Ward 7,11.851741
21002001: Ward 1,16.754925
21002002: Ward 2,17.25731
21002003: Ward 3,22.66025
21002004: Ward 4,21.70455
21002005: Ward 5,18.254393
21002006: Ward 6,14.90021
21004001: Ward 1,13.516435
21004002: Ward 2,22.80264
21004003: Ward 3,16.955555
21004004: Ward 4,12.112624
21004005: Ward 5,25.142105
21004006: Ward 6,20.121952
21004007: Ward 7,24.923285
21004008: Ward 8,13.217368
21004009: Ward 9,23.590227
21004010: Ward 10,23.181602
21004011: Ward 11,26.648773
21004012: Ward 12,10.729568
21004013: Ward 13,18.519527
21004014: Ward 14,16.7205
21005001: Ward 1,27.702065
21005002: Ward 2,18.036411
21005003: Ward 3,18.255571
21005004: Ward 4,18.096336
21005005: Ward 5,18.955973
21005006: Ward 6,15.383061
21005007: Ward 7,29.407927
21005008: Ward 8,23.20185
21005009: Ward 9,19.695415
21005010: Ward 10,4.866334
21006001: Ward 1,18.616093
21006002: Ward 2,17.096004
21006003: Ward 3,17.555998
21006004: Ward 4,19.120134
21006005: Ward 5,19.36006
21006006: Ward 6,14.951974
21006007: Ward 7,14.562535
21006008: Ward 8,19.618189
21008001: Ward 1,14.967406
21008002: Ward 2,16.514248
21008003: Ward 3,4.6321526
21008004: Ward 4,17.429445
21008005: Ward 5,17.934599
21008006: Ward 6,24.288315
21008007: Ward 7,15.44431
21008008: Ward 8,7.2355466
21008009: Ward 9,18.292639
21008010: Ward 10,18.242851
21008011: Ward 11,7.119392
21008012: Ward 12,12.419419
21008013: Ward 13,15.16027
21008014: Ward 14,13.927918
21008015: Ward 15,14.553189
21009001: Ward 1,14.577798
21009002: Ward 2,14.55771
21009003: Ward 3,18.366552
21009004: Ward 4,15.370406
21009005: Ward 5,16.97335
21009006: Ward 6,15.6765585
21201001: Ward 1,25.383036
21201002: Ward 2,34.82303
21201003: Ward 3,38.174625
21201004: Ward 4,39.908436
21201005: Ward 5,36.45973
21201006: Ward 6,37.38278
21201007: Ward 7,40.86274
21201008: Ward 8,42.206005
21201009: Ward 9,32.472897
21201010: Ward 10,36.701862
21201011: Ward 11,39.5726
21201012: Ward 12,38.62371
21201013: Ward 13,32.81438
21201014: Ward 14,44.16425
21201015: Ward 15,44.750294
21201016: Ward 16,45.706085
21201017: Ward 17,45.239304
21201018: Ward 18,44.06711
21201019: Ward 19,43.024548
21201020: Ward 20,44.73234
21201021: Ward 21,33.956673
21201022: Ward 22,41.36813
21201023: Ward 23,39.84613
21201024: Ward 24,33.838787
21201025: Ward 25,27.44774
21201026: Ward 26,45.660416
21201027: Ward 27,33.584095
21201028: Ward 28,37.66608
21201029: Ward 29,33.76205
21201030: Ward 30,34.786224
21201031: Ward 31,38.92161
21202001: Ward 1,19.769045
21202002: Ward 2,26.484297
21202003: Ward 3,28.638428
21202004: Ward 4,22.812233
21202005: Ward 5,28.541002
21202006: Ward 6,29.991034
21202007: Ward 7,31.636597
21202008: Ward 8,34.828693
21202009: Ward 9,32.22601
21202010: Ward 10,34.842876
21202011: Ward 11,34.9379
21202012: Ward 12,34.06801
21202013: Ward 13,32.93178
21202014: Ward 14,33.65257
21202015: Ward 15,38.098957
21202016: Ward 16,31.622309
21202017: Ward 17,33.910976
21202018: Ward 18,31.516558
21202019: Ward 19,35.037663
21202020: Ward 20,35.195774
21202021: Ward 21,34.973274
21202022: Ward 22,37.967854
21202023: Ward 23,38.38982
21202024: Ward 24,37.86171
21202025: Ward 25,39.17295
21202026: Ward 26,36.766712
21202027: Ward 27,36.89231
21202028: Ward 28,35.368687
21202029: Ward 29,35.415283
21202030: Ward 30,32.152782
21202031: Ward 31,38.024403
21203001: Ward 1,19.853098
21203002: Ward 2,31.27784
21203003: Ward 3,30.183077
21203004: Ward 4,31.296478
21203005: Ward 5,25.129997
21203006: Ward 6,18.182909
21203007: Ward 7,21.899214
21204001: Ward 1,31.15783
21204002: Ward 2,26.23182
21204003: Ward 3,33.132633
21204004: Ward 4,21.02376
21204005: Ward 5,26.175285
21204006: Ward 6,22.492662
21204007: Ward 7,33.420055
21204008: Ward 8,31.411575
21204009: Ward 9,26.49704
21204010: Ward 10,29.378733
21204011: Ward 11,31.601234
21204012: Ward 12,35.02299
21204013: Ward 13,30.594437
21204014: Ward 14,27.957376
21204015: Ward 15,32.054024
21206001: Ward 1,31.540033
21206002: Ward 2,30.920118
21206003: Ward 3,31.47013
21206004: Ward 4,31.483538
21206005: Ward 5,33.375263
21206006: Ward 6,28.584122
21206007: Ward 7,25.0878
21206008: Ward 8,30.147491
21206009: Ward 9,30.57868
21206010: Ward 10,22.611216
21206011: Ward 11,25.824106
21206012: Ward 12,28.442072
21301001: Ward 1,25.83551
21301002: Ward 2,22.645538
21301003: Ward 3,24.007223
21301004: Ward 4,21.387308
21301005: Ward 5,8.7506695
21301006: Ward 6,17.889898
21301007: Ward 7,21.747355
21301008: Ward 8,17.927338
21301009: Ward 9,20.275148
21305001: Ward 1,33.964565
21305002: Ward 2,29.97341
21305003: Ward 3,33.235096
21305004: Ward 4,30.560022
21305005: Ward 5,38.790287
21305006: Ward 6,34.016964
21305007: Ward 7,33.70188
21305008: Ward 8,30.35949
21305009: Ward 9,38.627636
21305010: Ward 10,33.04368
21305011: Ward 11,44.51268
21305012: Ward 12,36.893505
21305013: Ward 13,34.5256
21305014: Ward 14,26.145994
21305015: Ward 15,30.119865
21305016: Ward 16,36.73048
21305017: Ward 17,32.306885
21305018: Ward 18,37.23583
21305019: Ward 19,35.575325
21305020: Ward 20,39.009712
21305021: Ward 21,40.44641
21306001: Ward 1,34.523026
21306002: Ward 2,34.055042
21306003: Ward 3,33.228203
21306004: Ward 4,29.538124
21306005: Ward 5,32.004696
21306006: Ward 6,32.34324
21306007: Ward 7,34.367496
21306008: Ward 8,34.384266
21306009: Ward 9,37.824932
21306010: Ward 10,34.32076
21306011: Ward 11,28.900824
21306012: Ward 12,33.627377
21306013: Ward 13,33.042995
21306014: Ward 14,25.482956
21306015: Ward 15,28.60476
21306016: Ward 16,27.241821
21306017: Ward 17,32.112114
21307001: Ward 1,43.086594
21307002: Ward 2,41.739796
21307003: Ward 3,42.22387
21307004: Ward 4,39.288036
21307005: Ward 5,40.803
21307006: Ward 6,41.271034
21307007: Ward 7,38.830624
21307008: Ward 8,35.025486
21307009: Ward 9,36.101646
21307010: Ward 10,29.116308
21307011: Ward 11,23.998873
21307012: Ward 12,40.229393
21307013: Ward 13,43.59306
21307014: Ward 14,37.623463
21307015: Ward 15,40.54257
21307016: Ward 16,38.508686
21307017: Ward 17,35.856586
21307018: Ward 18,35.000534
21307019: Ward 19,40.98393
21307020: Ward 20,41.553646
