ward,new_preds
21001001: Ward 1,18.350216
21001002: Ward 2,11.574463
21001003: Ward 3,20.081268
21001004: Ward 4,17.609894
21001005: Ward 5,20.896572
21001006: Ward 6,21.289293
21001007: Ward 7,12.188557
21002001: Ward 1,15.469959
21002002: Ward 2,17.549938
21002003: Ward 3,21.188765
21002004: Ward 4,21.634338
21002005: Ward 5,16.741768
21002006: Ward 6,14.380747
21004001: Ward 1,14.43937
21004002: Ward 2,23.212086
21004003: Ward 3,16.601631
21004004: Ward 4,11.067965
21004005: Ward 5,23.733208
21004006: Ward 6,19.944546
21004007: Ward 7,21.337873
21004008: Ward 8,11.322658
21004009: Ward 9,22.42814
21004010: Ward 10,20.785192
21004011: Ward 11,27.472275
21004012: Ward 12,13.496433
21004013: Ward 13,19.028275
21004014: Ward 14,17.718637
21005001: Ward 1,29.63322
21005002: Ward 2,16.903643
21005003: Ward 3,18.405388
21005004: Ward 4,15.069782
21005005: Ward 5,19.65215
21005006: Ward 6,13.825504
21005007: Ward 7,27.3564
21005008: Ward 8,23.263762
21005009: Ward 9,21.247044
21005010: Ward 10,3.099043
21006001: Ward 1,17.720406
21006002: Ward 2,18.129292
21006003: Ward 3,17.582193
21006004: Ward 4,17.382925
21006005: Ward 5,19.625463
21006006: Ward 6,17.027697
21006007: Ward 7,14.164559
21006008: Ward 8,18.344597
21008001: Ward 1,12.668404
21008002: Ward 2,16.182209
21008003: Ward 3,1.4018109
21008004: Ward 4,16.090515
21008005: Ward 5,17.70773
21008006: Ward 6,23.575764
21008007: Ward 7,13.466777
21008008: Ward 8,5.875963
21008009: Ward 9,18.830877
21008010: Ward 10,16.581827
21008011: Ward 11,6.2585135
21008012: Ward 12,12.341028
21008013: Ward 13,16.645712
21008014: Ward 14,13.390032
21008015: Ward 15,12.474306
21009001: Ward 1,14.016455
21009002: Ward 2,13.78147
21009003: Ward 3,18.603662
21009004: Ward 4,14.043113
21009005: Ward 5,17.171793
21009006: Ward 6,14.398111
21201001: Ward 1,24.484121
21201002: Ward 2,31.758387
21201003: Ward 3,35.952843
21201004: Ward 4,35.973373
21201005: Ward 5,35.706417
21201006: Ward 6,34.42178
21201007: Ward 7,35.057106
21201008: Ward 8,40.992462
21201009: Ward 9,32.535202
21201010: Ward 10,34.86662
21201011: Ward 11,34.499855
21201012: Ward 12,37.96086
21201013: Ward 13,32.08774
21201014: Ward 14,36.643894
21201015: Ward 15,39.99021
21201016: Ward 16,42.863594
21201017: Ward 17,41.31581
21201018: Ward 18,41.913006
21201019: Ward 19,41.60274
21201020: Ward 20,42.96413
21201021: Ward 21,35.164463
21201022: Ward 22,42.12316
21201023: Ward 23,38.713333
21201024: Ward 24,32.478058
21201025: Ward 25,27.592247
21201026: Ward 26,43.267075
21201027: Ward 27,31.575348
21201028: Ward 28,39.487057
21201029: Ward 29,31.9575
21201030: Ward 30,31.664732
21201031: Ward 31,36.175644
21202001: Ward 1,19.756622
21202002: Ward 2,23.957369
21202003: Ward 3,25.561907
21202004: Ward 4,23.303873
21202005: Ward 5,28.315458
21202006: Ward 6,29.394281
21202007: Ward 7,30.639984
21202008: Ward 8,33.564014
21202009: Ward 9,30.200954
21202010: Ward 10,34.823807
21202011: Ward 11,30.299849
21202012: Ward 12,33.443798
21202013: Ward 13,33.59316
21202014: Ward 14,35.529686
21202015: Ward 15,35.44403
21202016: Ward 16,30.48738
21202017: Ward 17,32.953842
21202018: Ward 18,32.59637
21202019: Ward 19,32.5421
21202020: Ward 20,33.1384
21202021: Ward 21,32.87957
21202022: Ward 22,36.652763
21202023: Ward 23,36.284054
21202024: Ward 24,35.448162
21202025: Ward 25,37.323418
21202026: Ward 26,34.378048
21202027: Ward 27,35.21039
21202028: Ward 28,33.999214
21202029: Ward 29,31.964258
21202030: Ward 30,31.833437
21202031: Ward 31,35.18333
21203001: Ward 1,21.300756
21203002: Ward 2,31.351162
21203003: Ward 3,29.974247
21203004: Ward 4,29.676167
21203005: Ward 5,25.141815
21203006: Ward 6,17.384846
21203007: Ward 7,22.942858
21204001: Ward 1,31.549026
21204002: Ward 2,28.138844
21204003: Ward 3,33.32426
21204004: Ward 4,22.765268
21204005: Ward 5,26.339725
21204006: Ward 6,23.405178
21204007: Ward 7,32.760185
21204008: Ward 8,31.979136
21204009: Ward 9,26.202475
21204010: Ward 10,30.556581
21204011: Ward 11,31.964504
21204012: Ward 12,31.654821
21204013: Ward 13,29.33938
21204014: Ward 14,27.807343
21204015: Ward 15,31.676128
21206001: Ward 1,30.80222
21206002: Ward 2,29.836428
21206003: Ward 3,31.723963
21206004: Ward 4,31.595842
21206005: Ward 5,35.349037
21206006: Ward 6,29.139997
21206007: Ward 7,24.142271
21206008: Ward 8,30.100325
21206009: Ward 9,29.501305
21206010: Ward 10,23.105694
21206011: Ward 11,24.878595
21206012: Ward 12,28.126965
21301001: Ward 1,26.24846
21301002: Ward 2,23.62066
21301003: Ward 3,23.525497
21301004: Ward 4,19.844793
21301005: Ward 5,6.2883983
21301006: Ward 6,17.986546
21301007: Ward 7,23.5655
21301008: Ward 8,16.989147
21301009: Ward 9,20.635561
21305001: Ward 1,34.920628
21305002: Ward 2,28.535
21305003: Ward 3,32.473198
21305004: Ward 4,29.59729
21305005: Ward 5,36.400463
21305006: Ward 6,32.16932
21305007: Ward 7,32.14075
21305008: Ward 8,30.61302
21305009: Ward 9,36.048443
21305010: Ward 10,32.78708
21305011: Ward 11,39.658207
21305012: Ward 12,35.325203
21305013: Ward 13,30.8036
21305014: Ward 14,25.078281
21305015: Ward 15,27.90638
21305016: Ward 16,35.447006
21305017: Ward 17,32.45804
21305018: Ward 18,36.372326
21305019: Ward 19,36.833164
