ward,target
21001001: Ward 1,19.703636
21001002: Ward 2,12.059702
21001003: Ward 3,19.268044
21001004: Ward 4,17.389244
21001005: Ward 5,21.272993
21001006: Ward 6,22.860023
21001007: Ward 7,12.63366
21002001: Ward 1,17.574274
21002002: Ward 2,17.331833
21002003: Ward 3,23.50278
21002004: Ward 4,20.083046
21002005: Ward 5,19.193289
21002006: Ward 6,17.586918
21004001: Ward 1,14.631573
21004002: Ward 2,23.691126
21004003: Ward 3,14.955599
21004004: Ward 4,10.921416
21004005: Ward 5,22.583427
21004006: Ward 6,20.856176
21004007: Ward 7,24.681114
21004008: Ward 8,12.392803
21004009: Ward 9,22.80721
21004010: Ward 10,22.777029
21004011: Ward 11,26.43799
21004012: Ward 12,12.258385
21004013: Ward 13,20.759182
21004014: Ward 14,18.604872
21005001: Ward 1,27.229519
21005002: Ward 2,18.601051
21005003: Ward 3,19.064672
21005004: Ward 4,18.242832
21005005: Ward 5,19.824732
21005006: Ward 6,17.3927
21005007: Ward 7,29.368158
21005008: Ward 8,24.702126
21005009: Ward 9,23.442287
21005010: Ward 10,4.42478
21006001: Ward 1,20.2434
21006002: Ward 2,18.662188
21006003: Ward 3,17.86769
21006004: Ward 4,20.76082
21006005: Ward 5,21.035542
21006006: Ward 6,17.324102
21006007: Ward 7,14.714577
21006008: Ward 8,19.8658
21008001: Ward 1,15.560991
21008002: Ward 2,13.337856
21008003: Ward 3,5.9177284
21008004: Ward 4,16.216284
21008005: Ward 5,17.157402
21008006: Ward 6,24.54543
21008007: Ward 7,14.3516035
21008008: Ward 8,7.0260167
21008009: Ward 9,18.60111
21008010: Ward 10,16.629498
21008011: Ward 11,6.1761765
21008012: Ward 12,11.863127
21008013: Ward 13,16.344158
21008014: Ward 14,12.542217
21008015: Ward 15,14.99785
21009001: Ward 1,16.650826
21009002: Ward 2,13.938038
21009003: Ward 3,17.640402
21009004: Ward 4,14.585336
21009005: Ward 5,16.801182
21009006: Ward 6,17.22631
21201001: Ward 1,23.560205
21201002: Ward 2,32.786125
21201003: Ward 3,36.668785
21201004: Ward 4,38.46624
21201005: Ward 5,36.531487
21201006: Ward 6,35.039524
21201007: Ward 7,38.248848
21201008: Ward 8,38.80516
21201009: Ward 9,32.88534
21201010: Ward 10,35.63157
21201011: Ward 11,39.94366
21201012: Ward 12,35.87999
21201013: Ward 13,31.850769
21201014: Ward 14,41.936348
21201015: Ward 15,43.7178
21201016: Ward 16,45.730576
21201017: Ward 17,43.95653
21201018: Ward 18,44.481873
21201019: Ward 19,42.241352
21201020: Ward 20,45.63499
21201021: Ward 21,34.16899
21201022: Ward 22,39.136032
21201023: Ward 23,36.9716
21201024: Ward 24,32.931873
21201025: Ward 25,26.819265
21201026: Ward 26,44.85589
21201027: Ward 27,32.036575
21201028: Ward 28,36.028706
21201029: Ward 29,32.73255
21201030: Ward 30,32.719143
21201031: Ward 31,36.217327
21202001: Ward 1,19.567183
21202002: Ward 2,25.39752
21202003: Ward 3,25.764559
21202004: Ward 4,24.168528
21202005: Ward 5,26.806486
21202006: Ward 6,30.79544
21202007: Ward 7,29.898348
21202008: Ward 8,31.586277
21202009: Ward 9,29.329466
21202010: Ward 10,33.534504
21202011: Ward 11,35.073418
21202012: Ward 12,32.28659
21202013: Ward 13,31.986977
21202014: Ward 14,33.300774
21202015: Ward 15,37.83358
21202016: Ward 16,32.487442
21202017: Ward 17,31.479246
21202018: Ward 18,31.548416
21202019: Ward 19,32.287865
21202020: Ward 20,33.717213
21202021: Ward 21,32.669807
21202022: Ward 22,37.568207
21202023: Ward 23,36.78118
21202024: Ward 24,36.822163
21202025: Ward 25,37.02668
21202026: Ward 26,35.177593
21202027: Ward 27,36.58643
21202028: Ward 28,35.465588
21202029: Ward 29,32.446594
21202030: Ward 30,29.807508
21202031: Ward 31,35.798584
21203001: Ward 1,22.103909
21203002: Ward 2,32.047882
21203003: Ward 3,30.44525
21203004: Ward 4,31.090439
21203005: Ward 5,26.09478
21203006: Ward 6,19.051794
21203007: Ward 7,22.759874
21204001: Ward 1,32.219063
21204002: Ward 2,25.444706
21204003: Ward 3,33.49572
21204004: Ward 4,22.389637
21204005: Ward 5,26.160046
21204006: Ward 6,22.624147
21204007: Ward 7,34.528564
21204008: Ward 8,32.70849
21204009: Ward 9,25.507666
